Nom de la gare;Total Voyageurs 2022
Lamanon;42006
Lamballe;611161
Lamothe-Landerron;1601
Lamothe-Montravel;9465
Landébia;1784
Landerneau;769296
Lantenay;17267
Laon;827364
Lapeyrouse;8109
Larche;3
Lardenne;16374
L'Argentière Les Écrins;52309
Lavaufranche;936
Lavaur;149312
Lavoûte-sur-Loire;12993
Le Blanc-Mesnil;3347231
Le Breuil-sur-Couze;41661
Le Buet;2857
Le Buisson-de-Cadouin;45599
Le Mans hôpital-université;0
Le Monastier-Pin-Moriès;458
Le Pénity;6674
Le Pont-de-Beauvoisin;166219
Le Quesnoy;423766
Le Rouget;6750
Le Teich;293496
Le Teil;7355
Le Trayas;12545
Lentilly;302612
Les Aubrais;1286538
Les Clairières de Verneuil;459575
Les Fontinettes;28971
Les Lacs;19437
Les Mureaux;4588884
Les Perrières;1369
Les Rosiers-sur-Loire;66880
Les Sables-d'Olonne;534771
Les Versannes;2636
L'Escarène;28387
L'Étang-la-Ville - Les Sablons;0
Lexos;14578
Liancourt-Saint-Pierre;26872
Libercourt;774844
Lille CHR;312323
Limay;810884
L'Isle-Jourdain;295866
Liverdun;35166
Livron-sur-Drôme;82275
Loches;184591
Longpont;238
Longueau;430759
Lons-le-Saunier;412898
Loreux;11593
Loriol-sur-Drôme;79347
Lorraine TGV;458149
Louhans;33536
Loulay;896
Loures - Barbazan;1807
Louroux-de-Bouble;3290
Lozanne;344722
Luant;1741
Lubersac;218
Luçay-le-Mâle;30316
Lucé;16305
Ludon-Médoc;60311
Lumes;20714
Lurbe-Saint-Christau;1053
Lusignan;54052
Lutzelbourg;70226
Lutzelhouse;138935
Luzenac - Garanou;11181
Luzy;35713
Lycée Henri Sellier;1648127
Lyon Saint-Exupéry TGV;1666530
Lyon Vaise;914111
Magalas;9554
Magenta;33045860
Magland;30381
Maisons-Alfort - Alfortville;11252775
Maisse;137968
Mâlain;62336
Malesherbes;336626
Malling;33
Manosque - Gréoux-les-Bains;89993
Marcelcave;56264
Mareil-Marly;0
Maresquel-Ecquemicourt;2151
Margut - Fromy;239
Marly-le-Roi;1881402
Marmande;541375
Marquillies;10440
Marseillan Plage;15658
Martigues;35042
Marvejols;17798
Massy TGV;2589355
Maule;252944
Maurecourt;665925
Maurois;255
Maurs;10054
Mauves-sur-Loire;32165
Mauzac-et-Grand-Castang;1476
Mayet;23316
